"X","USDAcode","GPI_status"
1003,"ARGL","invasive"
1004,"TOJA","invasive"
1005,"SEVI4","invasive"
1006,"SEVU","invasive"
1007,"SAAL2","invasive"
1008,"SASA7","invasive"
1009,"SASA","invasive"
1010,"RUDE3","invasive"
1011,"ROIS2","invasive"
1012,"RAMU2","invasive"
1013,"RAAR3","invasive"
1014,"CEIB","invasive"
1015,"DYBO","invasive"
1016,"CLVU","invasive"
1017,"DILA3","invasive"
1018,"DILO2","invasive"
1019,"EPPA5","invasive"
1020,"FIPY2","invasive"
1021,"GABO2","invasive"
1022,"GAPA3","invasive"
1023,"GERO3","invasive"
1024,"HIRO3","invasive"
1025,"LYCO","invasive"
1026,"MAVU","invasive"
1027,"MAMI4","invasive"
1028,"NAPS","invasive"
1029,"NECA2","invasive"
1030,"ORVU","invasive"
1031,"PAHY3","invasive"
1032,"POPA2","invasive"
1033,"RASC3","invasive"
1034,"RUPA12","invasive"
1035,"SCPE","invasive"
1036,"SICO4","invasive"
1037,"THAN4","invasive"
1038,"THPRA","invasive"
1039,"VEAM2","invasive"
